日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
113/12/30,242,"7,879",32.65,32.75,32.5,32.5,-0.2,680
113/12/27,135,"4,456",33.0,33.2,32.7,32.7,-0.2,344
113/12/27,135,"4,456",33.0,33.2,32.7,32.7,-0.2,344
113/12/26,224,"7,408",32.8,33.25,32.8,32.9,0.15,235
113/12/26,224,"7,408",32.8,33.25,32.8,32.9,0.15,235
113/12/25,127,"4,152",33.05,33.05,32.7,32.75,-0.05,170
113/12/25,127,"4,152",33.05,33.05,32.7,32.75,-0.05,170
113/12/24,270,"8,866",33.05,33.05,32.6,32.8,-0.1,376
113/12/24,270,"8,866",33.05,33.05,32.6,32.8,-0.1,376
113/12/23,225,"7,381",32.6,33.05,32.6,32.9,0.1,574
113/12/23,225,"7,381",32.6,33.05,32.6,32.9,0.1,574
113/12/20,473,"15,645",33.5,33.7,32.75,32.8,-0.65,892
113/12/20,473,"15,645",33.5,33.7,32.75,32.8,-0.65,892
113/12/19,297,"9,967",33.5,33.8,33.4,33.45,-0.55,419
113/12/19,297,"9,967",33.5,33.8,33.4,33.45,-0.55,419
113/12/18,247,"8,347",33.65,34.0,33.35,34.0,0.35,299
113/12/18,247,"8,347",33.65,34.0,33.35,34.0,0.35,299
113/12/17,162,"5,439",33.5,33.75,33.45,33.65,0.2,259
113/12/17,162,"5,439",33.5,33.75,33.45,33.65,0.2,259
113/12/16,439,"14,808",33.8,34.2,33.4,33.45,-0.15,498
113/12/16,439,"14,808",33.8,34.2,33.4,33.45,-0.15,498
113/12/13,407,"13,736",33.5,34.15,33.3,33.6,0.05,477
113/12/13,407,"13,736",33.5,34.15,33.3,33.6,0.05,477
113/12/12,463,"15,651",34.1,34.25,33.5,33.55,-0.45,611
113/12/12,463,"15,651",34.1,34.25,33.5,33.55,-0.45,611
113/12/11,550,"18,835",34.15,34.8,33.9,34.0,-0.25,830
113/12/11,550,"18,835",34.15,34.8,33.9,34.0,-0.25,830
113/12/10,"1,093","37,489",35.2,35.2,33.8,34.25,-0.45,"1,268"
113/12/10,"1,093","37,489",35.2,35.2,33.8,34.25,-0.45,"1,268"
113/12/09,"1,582","54,185",33.5,34.7,33.5,34.7,1.6,"1,291"
113/12/09,"1,582","54,185",33.5,34.7,33.5,34.7,1.6,"1,291"
113/12/06,283,"9,409",33.35,33.55,33.05,33.1,-0.2,434
113/12/06,283,"9,409",33.35,33.55,33.05,33.1,-0.2,434
113/12/05,142,"4,751",33.4,33.5,33.2,33.3,-0.1,183
113/12/05,142,"4,751",33.4,33.5,33.2,33.3,-0.1,183
113/12/04,131,"4,338",33.1,33.4,33.05,33.4,0.3,287
113/12/04,131,"4,338",33.1,33.4,33.05,33.4,0.3,287
113/12/03,177,"5,873",33.2,33.45,33.05,33.1,-0.1,326
113/12/03,177,"5,873",33.2,33.45,33.05,33.1,-0.1,326
113/12/02,236,"7,827",33.55,33.6,33.0,33.2,-0.1,887
113/12/02,236,"7,827",33.55,33.6,33.0,33.2,-0.1,887
113/11/29,129,"4,255",32.8,33.3,32.8,33.3,0.4,159
113/11/29,129,"4,255",32.8,33.3,32.8,33.3,0.4,159
113/11/28,338,"11,192",33.2,33.65,32.75,32.9,-0.3,313
