股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
8284,三竹,2020/05/18,上櫃,資訊服務業,https://www.cnyes.com/twstock/8284,68.10,+0.30,+0.44%,鉅亨
8289,泰藝,2008/04/24,上櫃,電子零組件業,https://www.cnyes.com/twstock/8289,19.50,0.00,+0.00%,鉅亨
8291,尚茂,2011/11/29,上櫃,電子零組件業,https://www.cnyes.com/twstock/8291,6.37,0.00,+0.00%,鉅亨
8299,群聯,2004/12/06,上櫃,半導體業,https://www.cnyes.com/twstock/8299,521.00,-2.00,-0.38%,鉅亨
8342,益張,2017/11/23,上櫃,其他業,https://www.cnyes.com/twstock/8342,77.80,-0.10,-0.13%,鉅亨
8349,恒耀,2006/03/10,上櫃,鋼鐵工業,https://www.cnyes.com/twstock/8349,52.80,+0.30,+0.57%,鉅亨
8354,冠好,2004/04/15,上櫃,其他業,https://www.cnyes.com/twstock/8354,14.95,-0.05,-0.33%,鉅亨
8358,金居,2010/09/27,上櫃,電子零組件業,https://www.cnyes.com/twstock/8358,97.50,0.00,+0.00%,鉅亨
8383,千附,2004/09/10,上櫃,半導體業,https://www.cnyes.com/twstock/8383,40.75,+0.25,+0.62%,鉅亨
8390,金益鼎,2008/05/21,上櫃,綠能環保,https://www.cnyes.com/twstock/8390,62.00,-0.10,-0.16%,鉅亨
8401,白紗科,2010/03/29,上櫃,其他業,https://www.cnyes.com/twstock/8401,26.80,-0.20,-0.74%,鉅亨
8403,盛弘,2011/03/01,上櫃,生技醫療業,https://www.cnyes.com/twstock/8403,27.00,0.00,+0.00%,鉅亨
8409,商之器,2013/11/25,上櫃,生技醫療業,https://www.cnyes.com/twstock/8409,22.20,-0.10,-0.45%,鉅亨
8410,森田,2011/02/23,上櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/8410,45.85,+0.15,+0.33%,鉅亨
8415,大國鋼,2016/09/07,上櫃,鋼鐵工業,https://www.cnyes.com/twstock/8415,34.80,+0.45,+1.31%,鉅亨
8416,實威,2012/09/19,上櫃,資訊服務業,https://www.cnyes.com/twstock/8416,161.00,0.00,+0.00%,鉅亨
8421,旭源,2012/11/23,上櫃,其他業,https://www.cnyes.com/twstock/8421,14.30,0.00,+0.00%,鉅亨
8423,保綠-KY,2012/03/14,上櫃,綠能環保,https://www.cnyes.com/twstock/8423,19.20,+0.35,+1.86%,鉅亨
8424,惠普,2012/12/18,上櫃,建材營造業,https://www.cnyes.com/twstock/8424,73.10,0.00,+0.00%,鉅亨
8426,紅木-KY,2011/12/13,上櫃,其他業,https://www.cnyes.com/twstock/8426,29.80,-0.20,-0.67%,鉅亨
8431,匯鑽科,2015/03/30,上櫃,其他電子業,https://www.cnyes.com/twstock/8431,40.20,-0.35,-0.86%,鉅亨
8432,東生華,2012/04/30,上櫃,生技醫療業,https://www.cnyes.com/twstock/8432,48.40,-0.20,-0.41%,鉅亨
8433,弘帆,2012/12/19,上櫃,居家生活,https://www.cnyes.com/twstock/8433,60.60,+1.00,+1.68%,鉅亨
8435,鉅邁,2012/12/28,上櫃,其他業,https://www.cnyes.com/twstock/8435,65.40,+0.30,+0.46%,鉅亨
8436,大江,2013/09/12,上櫃,生技醫療業,https://www.cnyes.com/twstock/8436,133.00,-1.00,-0.75%,鉅亨
8437,大地-KY,2015/05/06,上櫃,其他業,https://www.cnyes.com/twstock/8437,18.65,-0.15,-0.80%,鉅亨
8440,綠電,2018/03/28,上櫃,綠能環保,https://www.cnyes.com/twstock/8440,29.40,0.00,+0.00%,鉅亨
8444,綠河-KY,2015/10/27,上櫃,其他業,https://www.cnyes.com/twstock/8444,14.90,-0.25,-1.65%,鉅亨
8446,華研,2013/12/19,上櫃,文化創意業,https://www.cnyes.com/twstock/8446,97.00,+2.40,+2.54%,鉅亨
8450,霹靂,2014/10/07,上櫃,文化創意業,https://www.cnyes.com/twstock/8450,19.35,-0.05,-0.26%,鉅亨
8455,大拓-KY,2016/01/08,上櫃,其他電子業,https://www.cnyes.com/twstock/8455,21.60,+0.25,+1.17%,鉅亨
8472,夠麻吉,2016/01/11,上櫃,數位雲端,https://www.cnyes.com/twstock/8472,49.50,-1.90,-3.70%,鉅亨
8477,創業家,2016/10/31,上櫃,數位雲端,https://www.cnyes.com/twstock/8477,12.70,-0.10,-0.78%,鉅亨
8489,三貝德,2017/04/27,上櫃,其他業,https://www.cnyes.com/twstock/8489,41.70,-1.55,-3.58%,鉅亨
8905,裕國,1996/01/31,上櫃,其他業,https://www.cnyes.com/twstock/8905,30.90,+0.30,+0.98%,鉅亨
8906,花王,1996/04/23,上櫃,其他業,https://www.cnyes.com/twstock/8906,34.10,-0.35,-1.02%,鉅亨
8908,欣雄,1997/02/14,上櫃,油電燃氣業,https://www.cnyes.com/twstock/8908,42.10,0.00,+0.00%,鉅亨
8916,光隆,1999/04/20,上櫃,其他業,https://www.cnyes.com/twstock/8916,50.80,+0.30,+0.59%,鉅亨
8917,欣泰,1999/05/06,上櫃,油電燃氣業,https://www.cnyes.com/twstock/8917,59.80,+0.10,+0.17%,鉅亨
8921,沈氏,2000/03/21,上櫃,其他業,https://www.cnyes.com/twstock/8921,17.80,-0.10,-0.56%,鉅亨
8923,時報,1999/12/27,上櫃,文化創意業,https://www.cnyes.com/twstock/8923,19.45,+0.25,+1.30%,鉅亨
