股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
00653L,富邦印度正2,2016/03/29,上市,,https://www.cnyes.com/twstock/00653L,55.25,-1.20,-2.13%,鉅亨
00654R,富邦印度反1,2016/03/29,上市,,https://www.cnyes.com/twstock/00654R,6.32,+0.09,+1.44%,鉅亨
00655L,國泰中國A50正2,2016/03/18,上市,,https://www.cnyes.com/twstock/00655L,28.26,-0.37,-1.29%,鉅亨
00656R,國泰中國A50反1,2016/03/18,上市,,https://www.cnyes.com/twstock/00656R,6.54,+0.05,+0.77%,鉅亨
00657,國泰日經225,2016/05/09,上市,,https://www.cnyes.com/twstock/00657,48.50,-0.41,-0.84%,鉅亨
00657K,國泰日經225+U,2017/10/24,上市,,https://www.cnyes.com/twstock/00657K,16.62,-0.21,-1.25%,鉅亨
00660,元大歐洲50,2016/07/15,上市,,https://www.cnyes.com/twstock/00660,39.39,-0.44,-1.10%,鉅亨
00661,元大日經225,2016/07/15,上市,,https://www.cnyes.com/twstock/00661,52.90,-0.55,-1.03%,鉅亨
00662,富邦NASDAQ,2016/06/24,上市,,https://www.cnyes.com/twstock/00662,87.95,+0.50,+0.57%,鉅亨
00663L,國泰臺灣加權正2,2016/07/14,上市,,https://www.cnyes.com/twstock/00663L,31.23,-0.11,-0.35%,鉅亨
00664R,國泰臺灣加權反1,2016/07/14,上市,,https://www.cnyes.com/twstock/00664R,3.35,0.00,+0.00%,鉅亨
00665L,富邦恒生國企正2,2016/08/05,上市,,https://www.cnyes.com/twstock/00665L,11.17,-0.28,-2.45%,鉅亨
00666R,富邦恒生國企反1,2016/08/05,上市,,https://www.cnyes.com/twstock/00666R,8.70,+0.14,+1.64%,鉅亨
00668,國泰美國道瓊,2016/10/17,上市,,https://www.cnyes.com/twstock/00668,48.08,+0.11,+0.23%,鉅亨
00668K,國泰美國道瓊+U,2017/10/24,上市,,https://www.cnyes.com/twstock/00668K,16.31,-0.12,-0.73%,鉅亨
00669R,國泰美國道瓊反1,2016/10/17,上市,,https://www.cnyes.com/twstock/00669R,5.95,+0.02,+0.34%,鉅亨
00670L,富邦NASDAQ正2,2017/02/21,上市,,https://www.cnyes.com/twstock/00670L,143.25,+0.35,+0.24%,鉅亨
00671R,富邦NASDAQ反1,2017/02/21,上市,,https://www.cnyes.com/twstock/00671R,3.11,0.00,+0.00%,鉅亨
00673R,期元大S&P原油反1,2016/10/07,上市,,https://www.cnyes.com/twstock/00673R,6.46,-0.06,-0.92%,鉅亨
00674R,期元大S&P黃金反1,2016/10/07,上市,,https://www.cnyes.com/twstock/00674R,7.52,+0.07,+0.94%,鉅亨
00675L,富邦臺灣加權正2,2016/10/05,上市,,https://www.cnyes.com/twstock/00675L,94.75,-0.50,-0.52%,鉅亨
